subject_id,stimulus,stimulus_voice,face shown,stimulus_face,subject_response,actual_sentence,subject_response_unfixed
6j184sm03y,assets/list1/sounds/90.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the cat laid on the bag,the cat lay on the bed,The cat laid on the bag
6j184sm03y,assets/list1/sounds/7.wav,american,assets/list1/pictures/whitelady1.png,white,,the fire was very hot,
6j184sm03y,assets/list1/sounds/54.wav,indian,assets/list1/pictures/whitelady3.png,white,,he's skating with his friend,
6j184sm03y,assets/list1/sounds/47.wav,indian,assets/list1/pictures/whitelady1.png,white,julies loves all of us,the baby slept all night,Julies loves all of us
6j184sm03y,assets/list1/sounds/88.wav,british,assets/list1/pictures/whitelady1.png,white,someone's crossing the road,someone is crossing the road,Someone's crossing the road
6j184sm03y,assets/list1/sounds/15.wav,american,assets/list1/pictures/whitelady3.png,white,he grew lots of vegetables,he grew lots of vegetables,He grew lots of vegetables
6j184sm03y,assets/list1/sounds/85.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the kitchen pot was loud,the kitchen clock was wrong,The kitchen pot was loud
6j184sm03y,assets/list1/sounds/22.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the table has food on it,the table has three legs,The table has food on it
6j184sm03y,assets/list1/sounds/116.wav,indian,assets/list1/pictures/whitelady3.png,white,,the girl played with the baby,
6j184sm03y,assets/list1/sounds/95.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the boss leaves before him,the bus leaves before the train,The boss leaves before him
6j184sm03y,assets/list1/sounds/105.wav,indian,assets/list1/pictures/whitelady1.png,white,,the two children are laughing,
6j184sm03y,assets/list1/sounds/57.wav,indian,assets/list1/pictures/whitelady1.png,white,they couldn't have drove late,she took off her fur coat,They couldn't have drove late
6j184sm03y,assets/list1/sounds/27.wav,british,assets/list1/pictures/whitelady1.png,white,mother read the instructions,mother read the instructions,Mother read the instructions
6j184sm03y,assets/list1/sounds/72.wav,american,assets/list1/pictures/southasianlady1.png,south asian,they took some food outside,they took some food outside,They took some food outside
6j184sm03y,assets/list1/sounds/39.wav,british,assets/list1/pictures/whitelady3.png,white,milk comes in a carton,milk comes in a carton,Milk comes in a carton
6j184sm03y,assets/list1/sounds/91.wav,british,assets/list1/pictures/whitelady1.png,white,they're running past the house,they're running past the house,They're running past the house
6j184sm03y,assets/list1/sounds/74.wav,american,assets/list1/pictures/whitelady1.png,white,we waited for an hour,they waited for an hour,We waited for an hour
6j184sm03y,assets/list1/sounds/80.wav,american,assets/list1/pictures/southasianlady1.png,south asian,a letter fell on the floor,a letter fell on the floor,A letter fell on the floor
6j184sm03y,assets/list1/sounds/35.wav,british,assets/list1/pictures/whitelady1.png,white,dad's pushing an old car,they're pushing an old car,Dad's pushing an old car
6j184sm03y,assets/list1/sounds/76.wav,american,assets/list1/pictures/southasianlady1.png,south asian,we watched a scary movie,they watched the scary movie,We watched a scary movie
6j184sm03y,assets/list1/sounds/8.wav,american,assets/list1/pictures/southasianlady1.png,south asian,she's drinking from her own cup,she's drinking from her own cup,She's drinking from her own cup
6j184sm03y,assets/list1/sounds/9.wav,american,assets/list1/pictures/whitelady1.png,white,the picture came from a book,the picture came from a book,The picture came from a book
6j184sm03y,assets/list1/sounds/49.wav,indian,assets/list1/pictures/whitelady1.png,white,the utilities drove away,the policemen know the way,The utilities drove away
6j184sm03y,assets/list1/sounds/32.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the family bought a house,the family bought a house,The family bought a house
6j184sm03y,assets/list1/sounds/106.wav,indian,assets/list1/pictures/whitelady1.png,white,the fireplace is big,the firetruck is coming,The fireplace is big
6j184sm03y,assets/list1/sounds/29.wav,british,assets/list1/pictures/whitelady1.png,white,father forgot his bag,father forgot the bread,Father forgot his bag
6j184sm03y,assets/list1/sounds/26.wav,british,assets/list1/pictures/southasianlady1.png,south asian,it's time to go to bed,it's time to go to bed,It's time to go to bed
6j184sm03y,assets/list1/sounds/93.wav,british,assets/list1/pictures/whitelady3.png,white,the dog has chose the path,the dog is chasing the cat,The dog has chose the path
6j184sm03y,assets/list1/sounds/71.wav,american,assets/list1/pictures/whitelady1.png,white,the boys did a handstand,the boy did a handstand,The boys did a handstand
6j184sm03y,assets/list1/sounds/53.wav,indian,assets/list1/pictures/whitelady1.png,white,flowers have grown in the forest,flowers can grow in the pot,Flowers have grown in the forest
6j184sm03y,assets/list1/sounds/104.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,children go to sleep,sugar is very sweet,Children go to sleep
6j184sm03y,assets/list1/sounds/78.wav,american,assets/list1/pictures/whitelady3.png,white,the truck drove up the road,the truck drove up the road,The truck drove up the road
6j184sm03y,assets/list1/sounds/96.wav,british,assets/list1/pictures/whitelady3.png,white,,the baby has blue eyes,
6j184sm03y,assets/list1/sounds/109.wav,indian,assets/list1/pictures/whitelady1.png,white,the boy broke the window,the ball broke the window,The boy broke the window
6j184sm03y,assets/list1/sounds/79.wav,american,assets/list1/pictures/whitelady1.png,white,the tall man tied his shoe,the tall man tied his shoes,The tall man tied his shoe
6j184sm03y,assets/list1/sounds/92.wav,british,assets/list1/pictures/whitelady3.png,white,he's washing his face with soap,he's washing his face with soap,He's washing his face with soap
6j184sm03y,assets/list1/sounds/119.wav,indian,assets/list1/pictures/whitelady3.png,white,we are drinking coffee,they are drinking coffee,We are drinking coffee
6j184sm03y,assets/list1/sounds/23.wav,british,assets/list1/pictures/whitelady3.png,white,the children wait in the room,the children waved at the train,The children wait in the room
6j184sm03y,assets/list1/sounds/46.wav,indian,assets/list1/pictures/whitelady1.png,white,the guy danced with them there,the children drank some fresh milk,The guy danced with them there
6j184sm03y,assets/list1/sounds/62.wav,american,assets/list1/pictures/whitelady1.png,white,they found his brother hiding,they found his brother hiding,They found his brother hiding
6j184sm03y,assets/list1/sounds/99.wav,british,assets/list1/pictures/whitelady3.png,white,they wanted some pies,they wanted some potatoes,They wanted some pies
6j184sm03y,assets/list1/sounds/28.wav,british,assets/list1/pictures/whitelady1.png,white,the dog is eating something,the dog is eating some meat,The dog is eating something
6j184sm03y,assets/list1/sounds/37.wav,british,assets/list1/pictures/whitelady3.png,white,the children are walking home,the children are walking home,The children are walking home
6j184sm03y,assets/list1/sounds/45.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,it's right on the wooden bed,they sat on a wooden bench,It's right on the wooden bed
6j184sm03y,assets/list1/sounds/48.wav,indian,assets/list1/pictures/whitelady1.png,white,the boy sat on the game,the salt shaker is empty,The boy sat on the game
6j184sm03y,assets/list1/sounds/110.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,there was a bad seaman,the was a bad train wreck,There was a bad seaman
6j184sm03y,assets/list1/sounds/41.wav,indian,assets/list1/pictures/whitelady3.png,white,the house had nine bedrooms,the house had nine bedrooms,The house had nine bedrooms
6j184sm03y,assets/list1/sounds/25.wav,british,assets/list1/pictures/whitelady1.png,white,the girl is fixing her dress,the girl is fixing her dress,The girl is fixing her dress
6j184sm03y,assets/list1/sounds/69.wav,american,assets/list1/pictures/whitelady1.png,white,she lost her credit card,she lost her credit card,She lost her credit card
6j184sm03y,assets/list1/sounds/101.wav,indian,assets/list1/pictures/whitelady1.png,white,school let out early today,school got out early today,School let out early today
6j184sm03y,assets/list1/sounds/108.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the baby wants his bottle,the baby wants his bottle,The baby wants his bottle
6j184sm03y,assets/list1/sounds/111.wav,indian,assets/list1/pictures/whitelady1.png,white,the lady lost her tune,the waiter brought the cream,The lady lost her tune
6j184sm03y,assets/list1/sounds/20.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the mother heard the baby,the mother heard the baby,The mother heard the baby
6j184sm03y,assets/list1/sounds/64.wav,american,assets/list1/pictures/whitelady1.png,white,the book tells a story,the book tells a story,The book tells a story
6j184sm03y,assets/list1/sounds/42.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the shop was still closed,they're shopping for school clothes,The shop was still closed
6j184sm03y,assets/list1/sounds/87.wav,british,assets/list1/pictures/southasianlady1.png,south asian,they had some stuck in back,they carried some shopping bags,They had some stuck in back
6j184sm03y,assets/list1/sounds/31.wav,british,assets/list1/pictures/whitelady1.png,white,the painter uses a brush,the painter uses a brush,The painter uses a brush
6j184sm03y,assets/list1/sounds/118.wav,indian,assets/list1/pictures/whitelady3.png,white,the boys are angry,they called an ambulance,The boys are angry
6j184sm03y,assets/list1/sounds/4.wav,american,assets/list1/pictures/whitelady3.png,white,the shoes were very dirty,the shoes were very dirty,The shoes were very dirty
6j184sm03y,assets/list1/sounds/17.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the kitchen window is clean,the kitchen window was clean,The kitchen window is clean
6j184sm03y,assets/list1/sounds/59.wav,indian,assets/list1/pictures/whitelady1.png,white,the man said leave,the man is painting a sign,The man said leave
6j184sm03y,assets/list1/sounds/73.wav,american,assets/list1/pictures/whitelady1.png,white,the young people are dancing,the young people are dancing,The young people are dancing
6j184sm03y,assets/list1/sounds/114.wav,indian,assets/list1/pictures/whitelady1.png,white,,the jelly jar was full,
6j184sm03y,assets/list1/sounds/112.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the people are in the same house,the teapot is very hot,The people are in the same house
6j184sm03y,assets/list1/sounds/50.wav,indian,assets/list1/pictures/whitelady1.png,white,,the buckets fill up quickly,
6j184sm03y,assets/list1/sounds/70.wav,american,assets/list1/pictures/whitelady1.png,white,the teen is playing well,the team is playing well,The teen is playing well
6j184sm03y,assets/list1/sounds/18.wav,american,assets/list1/pictures/whitelady3.png,white,he hung up his rain coat,he hung up his raincoat.,He hung up his rain coat
6j184sm03y,assets/list1/sounds/14.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the bananas are too ripe,the bananas are too ripe,The bananas are too ripe
6j184sm03y,assets/list1/sounds/107.wav,indian,assets/list1/pictures/whitelady1.png,white,,mother got a sauce pan,
6j184sm03y,assets/list1/sounds/43.wav,indian,assets/list1/pictures/whitelady1.png,white,they played inside,they're playing in the park,They played inside
6j184sm03y,assets/list1/sounds/1.wav,american,assets/list1/pictures/whitelady1.png,white,a boy fell from the window,a boy fell from the window,A boy fell from the window
6j184sm03y,assets/list1/sounds/115.wav,indian,assets/list1/pictures/whitelady3.png,white,the girl is washing her hair,the girl is washing her hair,The girl is washing her hair
6j184sm03y,assets/list1/sounds/100.wav,british,assets/list1/pictures/whitelady3.png,white,they knock on the window,they knocked on the window,They knock on the window
6j184sm03y,assets/list1/sounds/97.wav,british,assets/list1/pictures/whitelady3.png,white,the bat fell off the shelf,the bag fell off the shelf,The bat fell off the shelf
6j184sm03y,assets/list1/sounds/38.wav,british,assets/list1/pictures/whitelady3.png,white,they had two empty bottles,they had two empty bottles,They had two empty bottles
6j184sm03y,assets/list1/sounds/6.wav,american,assets/list1/pictures/whitelady1.png,white,somebody stole the money,somebody stole the money,Somebody stole the money
6j184sm03y,assets/list1/sounds/5.wav,american,assets/list1/pictures/whitelady1.png,white,the player lost the shoe,the player lost a shoe,The player lost the shoe
6j184sm03y,assets/list1/sounds/83.wav,british,assets/list1/pictures/whitelady3.png,white,football games over,the football game is over,Football games over
6j184sm03y,assets/list1/sounds/86.wav,british,assets/list1/pictures/whitelady3.png,white,the two of them helped their teacher,the children helped their teacher,The two of them helped their teacher
6j184sm03y,assets/list1/sounds/67.wav,american,assets/list1/pictures/whitelady3.png,white,the broom was in the corner,the broom was in the corner,The broom was in the corner
6j184sm03y,assets/list1/sounds/77.wav,american,assets/list1/pictures/whitelady1.png,white,the milk is in the pitcher,the milk is in a pitcher,The milk is in the pitcher
6j184sm03y,assets/list1/sounds/65.wav,american,assets/list1/pictures/whitelady1.png,white,the matches are on the shelf,the matches are on a shelf,The matches are on the shelf
6j184sm03y,assets/list1/sounds/120.wav,british,assets/list1/pictures/whitelady1.png,white,he climbed up the latter,he climbed up the ladder,He climbed up the latter
6j184sm03y,assets/list1/sounds/3.wav,american,assets/list1/pictures/whitelady1.png,white,big dogs can be dangerous,big dogs can be dangerous,Big dogs can be dangerous
6j184sm03y,assets/list1/sounds/16.wav,american,assets/list1/pictures/southasianlady1.png,south asian,she argued with her sister,she argues with her sister,She argued with her sister
6j184sm03y,assets/list1/sounds/63.wav,american,assets/list1/pictures/whitelady1.png,white,the dog played with a stick,the dog played with a stick,The dog played with a stick
6j184sm03y,assets/list1/sounds/58.wav,indian,assets/list1/pictures/whitelady1.png,white,,the match boxes are empty,
6j184sm03y,assets/list1/sounds/102.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,,the football hit the goalpost,
6j184sm03y,assets/list1/sounds/2.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the wife helped her husband,the wife helped her husband,The wife helped her husband
6j184sm03y,assets/list1/sounds/12.wav,american,assets/list1/pictures/whitelady3.png,white,the towel fell on the floor,the towel fell on the floor,The towel fell on the floor
6j184sm03y,assets/list1/sounds/11.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the paint dripped on the ground,the paint dripped on the ground,The paint dripped on the ground
6j184sm03y,assets/list1/sounds/40.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the dog slept in the basket,the dog sleeps in a basket,The dog slept in the basket
8bngcnqhfy,assets/list1/sounds/102.wav,indian,assets/list1/pictures/whitelady3.png,white,the boy had a big oath,the football hit the goalpost,the boy had a big oath
8bngcnqhfy,assets/list1/sounds/71.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the boy did a handstand,the boy did a handstand,The boy did a handstand
8bngcnqhfy,assets/list1/sounds/63.wav,american,assets/list1/pictures/whitelady3.png,white,the dog played with the stick,the dog played with a stick,The dog played with the stick
8bngcnqhfy,assets/list1/sounds/87.wav,british,assets/list1/pictures/whitelady3.png,white,a cat sun shopping back,they carried some shopping bags,A cat sun shopping back
8bngcnqhfy,assets/list1/sounds/83.wav,british,assets/list1/pictures/southasianlady1.png,south asian,football game's over,the football game is over,Football game's over
8bngcnqhfy,assets/list1/sounds/49.wav,indian,assets/list1/pictures/whitelady1.png,white,the kid ran the wave,the policemen know the way,The kid ran the wave
8bngcnqhfy,assets/list1/sounds/103.wav,indian,assets/list1/pictures/whitelady3.png,white,the boy ran away from school,the boy ran away from school,The boy ran away from school
8bngcnqhfy,assets/list1/sounds/70.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the team was playing well,the team is playing well,The team was playing well
8bngcnqhfy,assets/list1/sounds/40.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the dogs were in a basket,the dog sleeps in a basket,The dogs were in a basket
8bngcnqhfy,assets/list1/sounds/74.wav,american,assets/list1/pictures/whitelady3.png,white,they waited for an hour,they waited for an hour,They waited for an hour
8bngcnqhfy,assets/list1/sounds/95.wav,british,assets/list1/pictures/whitelady3.png,white,the boss needs us on the train,the bus leaves before the train,The boss needs us on the train
8bngcnqhfy,assets/list1/sounds/42.wav,indian,assets/list1/pictures/whitelady3.png,white,they were shopping for school clothes,they're shopping for school clothes,They were shopping for school clothes
8bngcnqhfy,assets/list1/sounds/75.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the shirts are in the closet,the shirts are in the closet,The shirts are in the closet
8bngcnqhfy,assets/list1/sounds/88.wav,british,assets/list1/pictures/whitelady1.png,white,someone is crossing the road,someone is crossing the road,Someone is crossing the road
8bngcnqhfy,assets/list1/sounds/90.wav,british,assets/list1/pictures/whitelady3.png,white,the cat lay on the bag,the cat lay on the bed,The cat lay on the bag
8bngcnqhfy,assets/list1/sounds/66.wav,american,assets/list1/pictures/whitelady1.png,white,the milk was by the front door,the milk was by the front door,The milk was by the front door
8bngcnqhfy,assets/list1/sounds/117.wav,indian,assets/list1/pictures/whitelady1.png,white,the guard was with me everyday,the cow is milked every day,The guard was with me everyday
8bngcnqhfy,assets/list1/sounds/116.wav,indian,assets/list1/pictures/whitelady3.png,white,the girls played with the baby,the girl played with the baby,The girls played with the baby
8bngcnqhfy,assets/list1/sounds/13.wav,american,assets/list1/pictures/whitelady1.png,white,the family likes fish,the family likes fish,The family likes fish
8bngcnqhfy,assets/list1/sounds/27.wav,british,assets/list1/pictures/whitelady3.png,white,mother read the instructions,mother read the instructions,Mother read the instructions
8bngcnqhfy,assets/list1/sounds/16.wav,american,assets/list1/pictures/whitelady3.png,white,she argued with her sister,she argues with her sister,She argued with her sister
8bngcnqhfy,assets/list1/sounds/26.wav,british,assets/list1/pictures/whitelady1.png,white,it's time to go to bed,it's time to go to bed,It's time to go to bed
8bngcnqhfy,assets/list1/sounds/104.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the children are very sweet,sugar is very sweet,The children are very sweet
8bngcnqhfy,assets/list1/sounds/34.wav,british,assets/list1/pictures/whitelady3.png,white,she cut the steak with her knife,she cut the steak with her knife,SHe cut the steak with her knife
8bngcnqhfy,assets/list1/sounds/38.wav,british,assets/list1/pictures/whitelady1.png,white,they had two empty bottles,they had two empty bottles,They had two empty bottles
8bngcnqhfy,assets/list1/sounds/6.wav,american,assets/list1/pictures/whitelady3.png,white,somebody stole the money,somebody stole the money,Somebody stole the money
8bngcnqhfy,assets/list1/sounds/36.wav,british,assets/list1/pictures/whitelady1.png,white,the food is expensive,the food is expensive,The food is expensive
8bngcnqhfy,assets/list1/sounds/100.wav,british,assets/list1/pictures/southasianlady1.png,south asian,they knock on the window,they knocked on the window,They knock on the window
8bngcnqhfy,assets/list1/sounds/113.wav,indian,assets/list1/pictures/whitelady1.png,white,the apple pie is good,the apple pie is good,THe apple pie is good
8bngcnqhfy,assets/list1/sounds/96.wav,british,assets/list1/pictures/southasianlady1.png,south asian,the baby has blue eyes,the baby has blue eyes,The baby has blue eyes
8bngcnqhfy,assets/list1/sounds/118.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the stole an ambulance,they called an ambulance,The stole an ambulance
8bngcnqhfy,assets/list1/sounds/21.wav,british,assets/list1/pictures/whitelady3.png,white,she found her purse in the trash,she found her purse in the trash,She found her purse in the trash
8bngcnqhfy,assets/list1/sounds/69.wav,american,assets/list1/pictures/southasianlady1.png,south asian,she lost her credit card,she lost her credit card,She lost her credit card
8bngcnqhfy,assets/list1/sounds/23.wav,british,assets/list1/pictures/whitelady3.png,white,the children wait for the train,the children waved at the train,The children wait for the train
8bngcnqhfy,assets/list1/sounds/108.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the baby wants his bottle,the baby wants his bottle,The baby wants his bottle
8bngcnqhfy,assets/list1/sounds/58.wav,indian,assets/list1/pictures/whitelady3.png,white,the match started late,the match boxes are empty,The match started late
8bngcnqhfy,assets/list1/sounds/94.wav,british,assets/list1/pictures/whitelady1.png,white,the milkman drives a small truck,the milkman drives a small truck,The milkman drives a small truck
8bngcnqhfy,assets/list1/sounds/101.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the school girls got out early today,school got out early today,The school girls got out early today
8bngcnqhfy,assets/list1/sounds/31.wav,british,assets/list1/pictures/whitelady1.png,white,the painter uses a brush,the painter uses a brush,The painter uses a brush
8bngcnqhfy,assets/list1/sounds/18.wav,american,assets/list1/pictures/southasianlady1.png,south asian,he hung up his raincoat,he hung up his raincoat.,HE hung up his raincoat
8bngcnqhfy,assets/list1/sounds/43.wav,indian,assets/list1/pictures/whitelady3.png,white,they played in silence,they're playing in the park,They played in silence
8bngcnqhfy,assets/list1/sounds/120.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,he climbed up the ladder,he climbed up the ladder,He climbed up the ladder
8bngcnqhfy,assets/list1/sounds/99.wav,british,assets/list1/pictures/whitelady3.png,white,they wanted some guitars,they wanted some potatoes,They wanted some guitars
8bngcnqhfy,assets/list1/sounds/111.wav,indian,assets/list1/pictures/whitelady3.png,white,the waiter dropped the plate,the waiter brought the cream,The waiter dropped the plate
8bngcnqhfy,assets/list1/sounds/72.wav,american,assets/list1/pictures/whitelady3.png,white,they took some food outside,they took some food outside,THey took some food outside
8bngcnqhfy,assets/list1/sounds/32.wav,british,assets/list1/pictures/whitelady1.png,white,the family bought a house,the family bought a house,The family bought a house
8bngcnqhfy,assets/list1/sounds/52.wav,indian,assets/list1/pictures/whitelady3.png,white,the dolly is near the station,a towel is near the sink,The dolly is near the station
8bngcnqhfy,assets/list1/sounds/64.wav,american,assets/list1/pictures/whitelady1.png,white,the book tells a storyh,the book tells a story,The book tells a storyh
8bngcnqhfy,assets/list1/sounds/9.wav,american,assets/list1/pictures/whitelady1.png,white,the picture came from a book,the picture came from a book,The picture came from a book
8bngcnqhfy,assets/list1/sounds/2.wav,american,assets/list1/pictures/whitelady3.png,white,the wife helped her husband,the wife helped her husband,The wife helped her husband
8bngcnqhfy,assets/list1/sounds/57.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,she took off her backpack,she took off her fur coat,She took off her backpack
8bngcnqhfy,assets/list1/sounds/59.wav,indian,assets/list1/pictures/whitelady3.png,white,the man was escaping,the man is painting a sign,The man was escaping
8bngcnqhfy,assets/list1/sounds/45.wav,indian,assets/list1/pictures/whitelady3.png,white,they sat on the wooden bench,they sat on a wooden bench,They sat on the wooden bench
8bngcnqhfy,assets/list1/sounds/39.wav,british,assets/list1/pictures/southasianlady1.png,south asian,milk comes in a carton,milk comes in a carton,Milk comes in a carton
8bngcnqhfy,assets/list1/sounds/76.wav,american,assets/list1/pictures/southasianlady1.png,south asian,they watched the scary movie,they watched the scary movie,They watched the scary movie
8bngcnqhfy,assets/list1/sounds/46.wav,indian,assets/list1/pictures/whitelady3.png,white,the guy landed on the fresh field,the children drank some fresh milk,The guy landed on the fresh field
8bngcnqhfy,assets/list1/sounds/22.wav,british,assets/list1/pictures/whitelady3.png,white,the table has three legs,the table has three legs,The table has three legs
8bngcnqhfy,assets/list1/sounds/79.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the tall man tied his shoes,the tall man tied his shoes,The tall man tied his shoes
8bngcnqhfy,assets/list1/sounds/119.wav,indian,assets/list1/pictures/whitelady3.png,white,they are drinking coffee,they are drinking coffee,They are drinking coffee
8bngcnqhfy,assets/list1/sounds/60.wav,indian,assets/list1/pictures/southasianlady1.png,south asian,the girls were in the room,the dog came home at last,The girls were in the room
8bngcnqhfy,assets/list1/sounds/3.wav,american,assets/list1/pictures/whitelady3.png,white,big dogs can be dangerous,big dogs can be dangerous,Big dogs can be dangerous
8bngcnqhfy,assets/list1/sounds/41.wav,indian,assets/list1/pictures/whitelady3.png,white,the house has nine bedrooms,the house had nine bedrooms,The house has nine bedrooms
8bngcnqhfy,assets/list1/sounds/11.wav,american,assets/list1/pictures/whitelady3.png,white,the paint dripped on the ground,the paint dripped on the ground,The paint dripped on the ground
8bngcnqhfy,assets/list1/sounds/37.wav,british,assets/list1/pictures/whitelady1.png,white,the children are now walking home,the children are walking home,The children are now walking home
8bngcnqhfy,assets/list1/sounds/35.wav,british,assets/list1/pictures/whitelady1.png,white,they are pushing an old cart,they're pushing an old car,They are pushing an old cart
8bngcnqhfy,assets/list1/sounds/77.wav,american,assets/list1/pictures/whitelady3.png,white,the milk is in the pitcher,the milk is in a pitcher,The milk is in the pitcher
8bngcnqhfy,assets/list1/sounds/47.wav,indian,assets/list1/pictures/whitelady1.png,white,the babies slept all night,the baby slept all night,The babies slept all night
8bngcnqhfy,assets/list1/sounds/86.wav,british,assets/list1/pictures/whitelady1.png,white,the children hugged their teacher,the children helped their teacher,The children hugged their teacher
8bngcnqhfy,assets/list1/sounds/7.wav,american,assets/list1/pictures/southasianlady1.png,south asian,the fire was very hot,the fire was very hot,The fire was very hot
